latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
34.095987,-118.313905,Yes,HS,LOS ANGELES UNIFIED,STEM Academy Of Hollywood,CA,____hi,Y
34.028915,-118.271158,Yes,HS,LOS ANGELES UNIFIED,Orthopaedic Hospital Magnet High School,CA,____hi,Y
33.958624,-118.428875,Yes,HS,LOS ANGELES UNIFIED,Westchester Enriched Sciences Magnets High School,CA,____hi,Y
34.010026,-118.251157,Yes,HS,LOS ANGELES UNIFIED,Thomas Jefferson Senior High School,CA,____hi,Y
33.957097,-118.269051,Yes,HS,LOS ANGELES UNIFIED,MERVYN M. DYMALLY HIGH,CA,____hi,Y
33.943589,-118.231109,Yes,HS,LOS ANGELES UNIFIED,JORDAN HIGH,CA,____hi,Y
34.063001,-118.250479,Yes,HS,LOS ANGELES UNIFIED,Downtown Magnets High School,CA,____hi,Y
34.259875,-118.50278,Yes,HS,LOS ANGELES UNIFIED,Valley Academy Arts And Sciences,CA,____hi,Y
34.245407,-118.524424,Yes,HS,LOS ANGELES UNIFIED,Northridge Academy High School,CA,____hi,Y
34.048538,-118.226953,Yes,HS,LOS ANGELES UNIFIED,Felicitas and Gonzalo Mendez High School,CA,____hi,Y
34.074678,-118.204031,Yes,HS,LOS ANGELES UNIFIED,Abraham Lincoln Senior High School,CA,____hi,Y
34.05586,-118.332038,Yes,HS,LOS ANGELES UNIFIED,Los Angeles Senior High School,CA,____hi,Y
33.994012,-118.267292,Yes,HS,LOS ANGELES UNIFIED,DR. MAYA ANGELOU COMMUNITY HIGH,CA,____hi,Y
34.099079,-118.340221,Yes,HS,LOS ANGELES UNIFIED,Hollywood High School,CA,____hi,Y
34.061413,-118.255017,Yes,HS,LOS ANGELES UNIFIED,Edward Roybal Learning Center,CA,____hi,Y
34.05983,-118.244238,Yes,HS,LOS ANGELES UNIFIED,RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,CA,____hi,Y
33.986351,-118.288193,Yes,HS,LOS ANGELES UNIFIED,Critical Design And Gaming School at A Hawkins High School,CA,____hi,Y
34.261092,-118.298458,Yes,HS,LOS ANGELES UNIFIED,Verdugo Hills High School,CA,____hi,Y
34.045564,-118.460961,Yes,HS,LOS ANGELES UNIFIED,University High School Charter,CA,____hi,Y
34.189985,-118.530262,Yes,HS,LOS ANGELES UNIFIED,Reseda Charter High School,CA,____hi,Y
33.822655,-118.274237,Yes,HS,LOS ANGELES UNIFIED,Carson High School,CA,____hi,Y
34.307211,-118.441848,Yes,HS,LOS ANGELES UNIFIED,Sylmar Charter High School,CA,____hi,Y
34.038388,-118.211071,Yes,HS,LOS ANGELES UNIFIED,Theodore Roosevelt Senior High School,CA,____hi,Y
34.05812,-118.202889,Yes,HS,LOS ANGELES UNIFIED,Francisco Bravo Medical Magnet High School,CA,____hi,Y
34.08284,-118.359927,Yes,HS,LOS ANGELES UNIFIED,Fairfax High School,CA,____hi,Y
